time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260612020518.546481,172.16.40.122,54948,172.16.40.174,5001,1,21.0,22.0,29360128,234881024,224,0,0,258,183,4278,121
-0700:20260612020518.546481,172.16.40.122,54944,172.16.40.174,5001,4,21.0,22.0,29097984,232783872,222,0,0,207,147,4253,137
-0700:20260612020518.546482,172.16.40.122,54942,172.16.40.174,5001,2,21.0,22.0,29229056,233832448,223,0,0,417,295,4263,143
-0700:20260612020518.546574,172.16.40.122,54946,172.16.40.174,5001,3,21.0,22.0,29753344,238026752,227,0,0,353,250,4326,137
-0700:20260612020518.546481,172.16.40.122,0,172.16.40.174,5001,-1,21.0,22.0,117440512,939524096,896,0,0,3905805257111764992,0,0,0
-0700:20260612020519.546481,172.16.40.122,54948,172.16.40.174,5001,1,22.0,23.0,29360128,234881024,224,0,0,258,183,4446,248
-0700:20260612020519.546481,172.16.40.122,54944,172.16.40.174,5001,4,22.0,23.0,29753344,238026752,227,0,0,207,147,4280,116
-0700:20260612020519.546482,172.16.40.122,54942,172.16.40.174,5001,2,22.0,23.0,29097984,232783872,222,0,0,417,295,4271,118
-0700:20260612020519.546574,172.16.40.122,54946,172.16.40.174,5001,3,22.0,23.0,28966912,231735296,221,0,0,353,250,4478,297
-0700:20260612020519.546481,172.16.40.122,0,172.16.40.174,5001,-1,22.0,23.0,117178368,937426944,894,0,0,3905805257111764992,0,0,0
-0700:20260612020520.546481,172.16.40.122,54948,172.16.40.174,5001,1,23.0,24.0,29229056,233832448,223,0,0,258,183,4273,127
-0700:20260612020520.546481,172.16.40.122,54944,172.16.40.174,5001,4,23.0,24.0,30015488,240123904,229,0,0,207,147,4239,99
-0700:20260612020520.546482,172.16.40.122,54942,172.16.40.174,5001,2,23.0,24.0,29229056,233832448,223,0,0,417,295,4282,113
-0700:20260612020520.546574,172.16.40.122,54946,172.16.40.174,5001,3,23.0,24.0,29622272,236978176,226,0,0,353,250,4295,140
-0700:20260612020520.546481,172.16.40.122,0,172.16.40.174,5001,-1,23.0,24.0,118095872,944766976,901,0,0,3905805257111764992,0,0,0
-0700:20260612020521.546481,172.16.40.122,54948,172.16.40.174,5001,1,24.0,25.0,29360128,234881024,224,0,0,258,183,4280,111
-0700:20260612020521.546481,172.16.40.122,54944,172.16.40.174,5001,4,24.0,25.0,28573696,228589568,218,0,0,329,233,4307,141
-0700:20260612020521.546574,172.16.40.122,54946,172.16.40.174,5001,3,24.0,25.0,28966912,231735296,221,0,0,353,250,4316,150
-0700:20260612020521.546482,172.16.40.122,54942,172.16.40.174,5001,2,24.0,25.0,29229056,233832448,223,0,0,417,295,4266,126
-0700:20260612020521.546481,172.16.40.122,0,172.16.40.174,5001,-1,24.0,25.0,116129792,929038336,886,0,0,3905805257111764992,0,0,0
-0700:20260612020522.546481,172.16.40.122,54944,172.16.40.174,5001,4,25.0,26.0,29491200,235929600,225,0,0,329,233,4314,131
-0700:20260612020522.546574,172.16.40.122,54946,172.16.40.174,5001,3,25.0,26.0,28966912,231735296,221,0,0,353,250,4332,132
-0700:20260612020522.546481,172.16.40.122,54948,172.16.40.174,5001,1,25.0,26.0,29360128,234881024,224,0,0,258,183,4801,901
-0700:20260612020522.546482,172.16.40.122,54942,172.16.40.174,5001,2,25.0,26.0,29229056,233832448,223,0,0,417,295,4255,119
-0700:20260612020522.546481,172.16.40.122,0,172.16.40.174,5001,-1,25.0,26.0,117047296,936378368,893,0,0,3905805257111764992,0,0,0
-0700:20260612020523.546481,172.16.40.122,54948,172.16.40.174,5001,1,26.0,27.0,29229056,233832448,223,0,0,258,183,4256,141
-0700:20260612020523.546481,172.16.40.122,54944,172.16.40.174,5001,4,26.0,27.0,29360128,234881024,224,0,0,329,233,4263,172
-0700:20260612020523.546482,172.16.40.122,54942,172.16.40.174,5001,2,26.0,27.0,29097984,232783872,222,0,0,417,295,4301,111
-0700:20260612020523.546574,172.16.40.122,54946,172.16.40.174,5001,3,26.0,27.0,29622272,236978176,226,0,0,353,250,4278,165
-0700:20260612020523.546481,172.16.40.122,0,172.16.40.174,5001,-1,26.0,27.0,117309440,938475520,895,0,0,3905805257111764992,0,0,0
-0700:20260612020524.546481,172.16.40.122,54948,172.16.40.174,5001,1,27.0,28.0,28835840,230686720,220,0,0,258,183,4264,112
-0700:20260612020524.546481,172.16.40.122,54944,172.16.40.174,5001,4,27.0,28.0,29360128,234881024,224,0,0,329,233,4265,123
-0700:20260612020524.546482,172.16.40.122,54942,172.16.40.174,5001,2,27.0,28.0,29229056,233832448,223,0,0,417,295,4257,113
-0700:20260612020524.546574,172.16.40.122,54946,172.16.40.174,5001,3,27.0,28.0,28966912,231735296,221,0,0,353,250,4322,144
-0700:20260612020524.546481,172.16.40.122,0,172.16.40.174,5001,-1,27.0,28.0,116391936,931135488,888,0,0,3905805257111764992,0,0,0
-0700:20260612020525.546481,172.16.40.122,54948,172.16.40.174,5001,1,28.0,29.0,29229056,233832448,223,0,0,258,183,4283,109
-0700:20260612020525.546482,172.16.40.122,54942,172.16.40.174,5001,2,28.0,29.0,29229056,233832448,223,0,0,417,295,4257,135
-0700:20260612020525.546481,172.16.40.122,54944,172.16.40.174,5001,4,28.0,29.0,29360128,234881024,224,0,0,329,233,4302,152
