pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,gre,cell-04,3,udp,1,60,gretest0,10.10.44.5,930.2,21,3.12,18.56,1,1,1,1,yes,ok
pi5-pair,geneve,cell-01,1,tcp,0,60,geneve10,192.168.101.2,908.9,0,0.85,6.15,1,1,1,1,yes,ok
pi5-pair,geneve,cell-01,2,tcp,0,60,geneve10,192.168.101.2,908.9,0,0.91,6.16,1,1,1,1,yes,ok
pi5-pair,geneve,cell-01,3,tcp,0,60,geneve10,192.168.101.2,908.9,0,0.87,6.20,1,1,1,1,yes,ok
pi5-pair,geneve,cell-02,1,tcp,1,60,geneve10,192.168.101.2,908.9,0,0.83,6.19,1,1,1,1,yes,ok
pi5-pair,geneve,cell-02,2,tcp,1,60,geneve10,192.168.101.2,908.9,0,0.79,6.18,1,1,1,1,yes,ok
pi5-pair,geneve,cell-02,3,tcp,1,60,geneve10,192.168.101.2,908.9,0,0.85,6.15,1,1,1,1,yes,ok
pi5-pair,geneve,cell-03,1,udp,0,60,geneve10,192.168.101.2,911.9,0,2.95,21.63,1,1,1,1,yes,ok
pi5-pair,geneve,cell-03,2,udp,0,60,geneve10,192.168.101.2,911.9,0,2.92,20.40,1,1,1,1,yes,ok
pi5-pair,geneve,cell-03,3,udp,0,60,geneve10,192.168.101.2,911.9,0,2.89,20.39,1,1,1,1,yes,ok
pi5-pair,geneve,cell-04,1,udp,1,60,geneve10,192.168.101.2,911.9,0,2.93,20.36,1,1,1,1,yes,ok
pi5-pair,geneve,cell-04,2,udp,1,60,geneve10,192.168.101.2,911.9,0,2.84,21.64,1,1,1,1,yes,ok
pi5-pair,geneve,cell-04,3,udp,1,60,geneve10,192.168.101.2,911.9,0,3.10,21.59,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,1,tcp,0,60,enp1s0f0np0,10.10.2.3,17793.5,8852,9.35,23.51,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,2,tcp,0,60,enp1s0f0np0,10.10.2.3,16324.7,5634,9.45,22.19,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,3,tcp,0,60,enp1s0f0np0,10.10.2.3,17857.4,13697,9.81,23.08,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,1,tcp,1,60,enp1s0f0np0,10.10.2.3,17518.6,9708,9.60,23.13,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,2,tcp,1,60,enp1s0f0np0,10.10.2.3,9709.3,277,12.11,16.66,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,3,tcp,1,60,enp1s0f0np0,10.10.2.3,17704.0,15718,9.60,23.17,1,1,1,1,yes,ok
