time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260611040532.240586,172.16.40.122,41330,172.16.40.174,5001,3,33.0,34.0,29360128,234881024,224,0,0,332,235,4257,156
-0700:20260611040532.240500,172.16.40.122,0,172.16.40.174,5001,-1,33.0,34.0,116785152,934281216,891,0,0,4120854346931896320,0,0,0
-0700:20260611040533.240501,172.16.40.122,41334,172.16.40.174,5001,1,34.0,35.0,29229056,233832448,223,0,0,216,153,4298,149
-0700:20260611040533.240500,172.16.40.122,41332,172.16.40.174,5001,4,34.0,35.0,29753344,238026752,227,0,0,318,225,4299,113
-0700:20260611040533.240500,172.16.40.122,41336,172.16.40.174,5001,2,34.0,35.0,29360128,234881024,224,0,0,224,159,4220,155
-0700:20260611040533.240586,172.16.40.122,41330,172.16.40.174,5001,3,34.0,35.0,29360128,234881024,224,0,0,332,235,4278,128
-0700:20260611040533.240500,172.16.40.122,0,172.16.40.174,5001,-1,34.0,35.0,117702656,941621248,898,0,0,4120854346931896320,0,0,0
-0700:20260611040534.240500,172.16.40.122,41332,172.16.40.174,5001,4,35.0,36.0,28835840,230686720,220,0,0,318,225,4269,133
-0700:20260611040534.240500,172.16.40.122,41336,172.16.40.174,5001,2,35.0,36.0,28835840,230686720,220,0,0,224,159,4268,129
-0700:20260611040534.240501,172.16.40.122,41334,172.16.40.174,5001,1,35.0,36.0,29097984,232783872,222,0,0,216,153,4316,137
-0700:20260611040534.240586,172.16.40.122,41330,172.16.40.174,5001,3,35.0,36.0,29491200,235929600,225,0,0,332,235,4297,134
-0700:20260611040534.240500,172.16.40.122,0,172.16.40.174,5001,-1,35.0,36.0,116260864,930086912,887,0,0,4120854346931896320,0,0,0
-0700:20260611040535.240500,172.16.40.122,41332,172.16.40.174,5001,4,36.0,37.0,29491200,235929600,225,0,0,318,225,4255,114
-0700:20260611040535.240501,172.16.40.122,41334,172.16.40.174,5001,1,36.0,37.0,29229056,233832448,223,0,0,216,153,4304,136
-0700:20260611040535.240500,172.16.40.122,41336,172.16.40.174,5001,2,36.0,37.0,29360128,234881024,224,0,0,224,159,4289,115
-0700:20260611040535.240586,172.16.40.122,41330,172.16.40.174,5001,3,36.0,37.0,29360128,234881024,224,0,0,332,235,4245,153
-0700:20260611040535.240500,172.16.40.122,0,172.16.40.174,5001,-1,36.0,37.0,117440512,939524096,896,0,0,4120854346931896320,0,0,0
-0700:20260611040536.240501,172.16.40.122,41334,172.16.40.174,5001,1,37.0,38.0,29229056,233832448,223,0,0,216,153,4293,146
-0700:20260611040536.240500,172.16.40.122,41336,172.16.40.174,5001,2,37.0,38.0,29360128,234881024,224,0,0,224,159,4249,158
-0700:20260611040536.240586,172.16.40.122,41330,172.16.40.174,5001,3,37.0,38.0,28704768,229638144,219,0,0,332,235,4265,138
-0700:20260611040536.240500,172.16.40.122,41332,172.16.40.174,5001,4,37.0,38.0,29360128,234881024,224,0,0,318,225,4299,107
-0700:20260611040536.240500,172.16.40.122,0,172.16.40.174,5001,-1,37.0,38.0,116654080,933232640,890,0,0,4120854346931896320,0,0,0
-0700:20260611040537.240501,172.16.40.122,41334,172.16.40.174,5001,1,38.0,39.0,29229056,233832448,223,0,0,216,153,4326,129
-0700:20260611040537.240500,172.16.40.122,41332,172.16.40.174,5001,4,38.0,39.0,29491200,235929600,225,0,0,318,225,4244,138
-0700:20260611040537.240500,172.16.40.122,41336,172.16.40.174,5001,2,38.0,39.0,29360128,234881024,224,0,0,224,159,4276,125
-0700:20260611040537.240586,172.16.40.122,41330,172.16.40.174,5001,3,38.0,39.0,29491200,235929600,225,0,0,332,235,4750,895
-0700:20260611040537.240500,172.16.40.122,0,172.16.40.174,5001,-1,38.0,39.0,117571584,940572672,897,0,0,4120854346931896320,0,0,0
-0700:20260611040538.240501,172.16.40.122,41334,172.16.40.174,5001,1,39.0,40.0,29229056,233832448,223,0,0,216,153,4481,295
-0700:20260611040538.240500,172.16.40.122,41332,172.16.40.174,5001,4,39.0,40.0,28835840,230686720,220,0,0,318,225,4252,132
